2026-03-07 16:44:12,883 | INFO | Laserflix | 📊 [quality] brilho=203.5 sat=29.2 fundo_branco~29.3% → vision=True
2026-03-07 16:44:12,884 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,886 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Baby-Name-Tag-Laser-Cut-133029166, usando fallback
2026-03-07 16:44:12,902 | INFO | Laserflix | 📊 [quality] brilho=160.7 sat=53.4 fundo_branco~32.9% → vision=True
2026-03-07 16:44:12,903 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,907 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Childrens-Room-Sign-Door-111629030, usando fallback
2026-03-07 16:44:12,924 | INFO | Laserflix | 📊 [quality] brilho=214.8 sat=37.8 fundo_branco~26.5% → vision=False
2026-03-07 16:44:12,925 | INFO | Laserflix | ⚠️ Visão desativada para Layered-Whale-Round-Sign-Laser-Cut-Laser-Cutting-142239159-1-1-580x387.jpg (brilho=214.8 sat=37.8 fundo~26.5%)
2026-03-07 16:44:12,929 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,933 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Layered-Whale-Round-Sign-Laser-142239159, usando fallback
2026-03-07 16:44:12,948 | INFO | Laserflix | 📊 [quality] brilho=177.1 sat=126.8 fundo_branco~29.1% → vision=True
2026-03-07 16:44:12,948 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,949 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Luminous-Wall-Dcor-BundleLaser-135953225, usando fallback
2026-03-07 16:44:12,965 | INFO | Laserflix | 📊 [quality] brilho=191.9 sat=35.9 fundo_branco~38.6% → vision=True
2026-03-07 16:44:12,965 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,969 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Name-Sign-Laser-Cut-134888530, usando fallback
2026-03-07 16:44:12,986 | INFO | Laserflix | 📊 [quality] brilho=195.9 sat=42.4 fundo_branco~43.1% → vision=True
2026-03-07 16:44:12,987 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,989 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Name-Sign-Laser-Cut-134888536, usando fallback
2026-03-07 16:44:13,003 | INFO | Laserflix | 📊 [quality] brilho=173.1 sat=57.5 fundo_branco~31.8% → vision=True
2026-03-07 16:44:13,004 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,007 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Name-Sign-Laser-Cut-134888540, usando fallback
2026-03-07 16:44:13,021 | INFO | Laserflix | 📊 [quality] brilho=178.7 sat=59.0 fundo_branco~26.4% → vision=True
2026-03-07 16:44:13,022 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,024 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Name-Signs-Laser-Cut-135138969, usando fallback
2026-03-07 16:44:13,043 | INFO | Laserflix | 📊 [quality] brilho=167.9 sat=81.6 fundo_branco~22.4% → vision=True
2026-03-07 16:44:13,044 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,048 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Nursery-Wall-Decor-Laser-Cut-132824165, usando fallback
2026-03-07 16:44:13,062 | INFO | Laserflix | 📊 [quality] brilho=184.1 sat=61.2 fundo_branco~29.6% → vision=True
2026-03-07 16:44:13,062 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,065 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Personalized-Name-Plaques-Bundle-Laser-141677810, usando fallback
2026-03-07 16:44:13,082 | INFO | Laserflix | 📊 [quality] brilho=174.8 sat=83.4 fundo_branco~29.4% → vision=True
2026-03-07 16:44:13,083 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,086 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Safari-Animal-Name-Sign-SVG-132660105, usando fallback
2026-03-07 16:44:13,102 | INFO | Laserflix | 📊 [quality] brilho=185.8 sat=89.7 fundo_branco~33.3% → vision=True
2026-03-07 16:44:13,102 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:13,105 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Safari-Animals-Wall-Decor-Laser-133854590, usando fallback
2026-03-07 16:44:13,114 | INFO | Laserflix | 📝 14 descrições geradas
2026-03-07 16:44:13,114 | INFO | Laserflix | ✅ Análise sequencial concluída!
2026-03-07 16:44:15,129 | INFO | Laserflix | === INICIANDO IMPORTAÇÃO ===
2026-03-07 16:44:15,182 | INFO | Laserflix | ImportModeDialog aberto
2026-03-07 16:44:26,008 | INFO | Laserflix | ImportMode confirmado: modo=simple pasta=D:/DOWNLOAD/CREATIVE/First Year/Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536244
2026-03-07 16:44:26,043 | INFO | Laserflix | Modo: simple | Pasta: D:/DOWNLOAD/CREATIVE/First Year/Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536244
2026-03-07 16:44:26,059 | INFO | Laserflix | [SCAN SIMPLES] 1 pastas encontradas em D:/DOWNLOAD/CREATIVE/First Year/Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536244
2026-03-07 16:44:26,060 | INFO | Laserflix | Scan 'simple': 1 produtos | pastas escaneadas: 0
2026-03-07 16:44:26,060 | INFO | Laserflix | Encontrados: 1 produtos
2026-03-07 16:44:26,061 | INFO | Laserflix | 🔍 Duplicatas encontradas: 0 grupos, 0 projetos afetados
2026-03-07 16:44:26,065 | INFO | Laserflix | 🔍 Verificação: 14 existentes + 1 escaneados = 15 total
2026-03-07 16:44:26,065 | INFO | Laserflix | ✅ Nenhuma duplicata encontrada
2026-03-07 16:44:26,066 | INFO | Laserflix | Novos: 1 | Existentes: 0
2026-03-07 16:44:26,136 | INFO | Laserflix | ImportPreviewDialog: 1 novos, 0 existentes
2026-03-07 16:44:32,679 | INFO | Laserflix | ImportPreviewDialog: confirmado
2026-03-07 16:44:32,709 | INFO | Laserflix | Iniciando import de 1 produtos em thread
2026-03-07 16:44:32,712 | INFO | Laserflix | Import concluído: 1 ok | 0 falha
2026-03-07 16:44:34,478 | INFO | Laserflix | 🤖 Iniciando análise SEQUENCIAL de 1 produtos
2026-03-07 16:44:34,486 | INFO | Laserflix | 📊 ETAPA 1/2: Analisando categorias e tags...
2026-03-07 16:44:35,304 | INFO | Laserflix | 📊 [quality] brilho=221.5 sat=42.6 fundo_branco~35.3% → vision=False
2026-03-07 16:44:35,361 | INFO | Laserflix | ⚠️ Visão desativada para Baby’s first year photo frame color-02.png (brilho=221.5 sat=42.6 fundo~35.3%)
2026-03-07 16:44:39,454 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:39,455 | INFO | Laserflix | 🔄 Ollama indisponível para Baby’s first year photo frame-02, usando fallback completo
2026-03-07 16:44:41,995 | INFO | Laserflix | ✅ Categorias e tags finalizadas
2026-03-07 16:44:41,995 | INFO | Laserflix | 📝 ETAPA 2/2: Gerando descrições...
2026-03-07 16:44:42,732 | INFO | Laserflix | 📊 [quality] brilho=221.5 sat=42.6 fundo_branco~35.3% → vision=False
2026-03-07 16:44:42,783 | INFO | Laserflix | ⚠️ Visão desativada para Baby’s first year photo frame color-02.png (brilho=221.5 sat=42.6 fundo~35.3%)
2026-03-07 16:44:42,784 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:42,788 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Baby’s first year photo frame-02, usando fallback
2026-03-07 16:44:42,789 | INFO | Laserflix | 📝 1 descrições geradas
2026-03-07 16:44:42,789 | INFO | Laserflix | ✅ Análise sequencial concluída!
2026-03-07 16:44:43,215 | INFO | Laserflix | === INICIANDO IMPORTAÇÃO ===
2026-03-07 16:44:43,924 | INFO | Laserflix | ImportModeDialog aberto
2026-03-07 16:45:17,376 | INFO | Laserflix | ImportMode confirmado: modo=simple pasta=D:/DOWNLOAD/CREATIVE/First Year
2026-03-07 16:45:17,409 | INFO | Laserflix | Modo: simple | Pasta: D:/DOWNLOAD/CREATIVE/First Year
2026-03-07 16:45:17,422 | INFO | Laserflix | [SCAN SIMPLES] 31 pastas encontradas em D:/DOWNLOAD/CREATIVE/First Year
